Algorithm,n,Result,Execution Time (s),Memory Usage (bytes),Memory Usage (KB)
Recursive,8,21,6.899997970322147e-06,0,0.0
Iterative,8,21,2.6000016077887267e-06,0,0.0
Dynamic Programming,8,21,7.100003131199628e-06,472,0.4609375
Recursive,14,377,0.00011209999865968712,24,0.0234375
Iterative,14,377,2.5999979698099196e-06,24,0.0234375
Dynamic Programming,14,377,1.049999991664663e-05,880,0.859375
Recursive,20,6765,0.0019647000008262694,24,0.0234375
Iterative,20,6765,3.6999990697950125e-06,24,0.0234375
Dynamic Programming,20,6765,1.2900000001536682e-05,880,0.859375
Recursive,26,121393,0.03429120000146213,24,0.0234375
Iterative,26,121393,4.899997293250635e-06,24,0.0234375
Dynamic Programming,26,121393,1.6099998902063817e-05,1696,1.65625
Recursive,32,2178309,0.6438539999981003,24,0.0234375
Iterative,32,2178309,5.199999577598646e-06,24,0.0234375
Dynamic Programming,32,2178309,1.790000169421546e-05,1696,1.65625
Recursive,36,14930352,4.450197800000751,24,0.0234375
Iterative,36,14930352,5.599998985417187e-06,24,0.0234375
Dynamic Programming,36,14930352,1.9999999494757503e-05,1696,1.65625
Recursive,40,102334155,27.02345409999907,24,0.0234375
Iterative,40,102334155,5.900001269765198e-06,24,0.0234375
Dynamic Programming,40,102334155,2.0699997548945248e-05,1696,1.65625
