Algorithm,Input Size,Input Type,Comparisons,Execution Time (s),Memory Usage (bytes),Memory Usage (KB)
Bubble Sort,80,sorted,79,9.20000093174167e-06,664,0.6484375
Insertion Sort,80,sorted,79,1.219999830937013e-05,664,0.6484375
Merge Sort,80,sorted,240,0.0007733999991614837,2272,2.21875
Quick Sort,80,sorted,570,0.0005268000022624619,704,0.6875
Bubble Sort,80,reverse,3160,0.0009074000008695293,696,0.6796875
Insertion Sort,80,reverse,3160,0.0007832000010239426,696,0.6796875
Merge Sort,80,reverse,272,0.0003775000004679896,2304,2.25
Quick Sort,80,reverse,508,0.00014179999925545417,704,0.6875
Bubble Sort,80,random,3139,0.0008210000014514662,696,0.6796875
Insertion Sort,80,random,1872,0.00044609999895328656,696,0.6796875
Merge Sort,80,random,410,0.00041899999996530823,2176,2.125
Quick Sort,80,random,435,0.00012649999916902743,704,0.6875
Bubble Sort,200,sorted,199,1.5699999494245276e-05,1624,1.5859375
Insertion Sort,200,sorted,199,2.470000254106708e-05,1624,1.5859375
Merge Sort,200,sorted,732,0.001141000000643544,5632,5.5
Quick Sort,200,sorted,1594,0.00033040000198525377,1632,1.59375
Bubble Sort,200,reverse,19900,0.003294000001915265,1624,1.5859375
Insertion Sort,200,reverse,19900,0.002841700003045844,1624,1.5859375
Merge Sort,200,reverse,812,0.0008961999992607161,5632,5.5
Quick Sort,200,reverse,1564,0.000305800000205636,1632,1.59375
Bubble Sort,200,random,19669,0.002528199998778291,1624,1.5859375
Insertion Sort,200,random,10038,0.0014961999986553565,1624,1.5859375
Merge Sort,200,random,1288,0.0010801999997056555,5120,5.0
Quick Sort,200,random,1547,0.0003169999981764704,1632,1.59375
Bubble Sort,500,sorted,499,0.00018289999934495427,4088,3.9921875
Insertion Sort,500,sorted,499,8.95000011951197e-05,4024,3.9296875
Merge Sort,500,sorted,2216,0.0022458999992522877,14064,13.734375
Quick Sort,500,sorted,5060,0.0012611999991349876,4032,3.9375
Bubble Sort,500,reverse,124750,0.027697500001522712,4024,3.9296875
Insertion Sort,500,reverse,124750,0.02049099999931059,4024,3.9296875
Merge Sort,500,reverse,2272,0.002641899998707231,14064,13.734375
Quick Sort,500,reverse,4587,0.000991299999441253,4032,3.9375
Bubble Sort,500,random,124497,0.023457899998902576,4024,3.9296875
Insertion Sort,500,random,67533,0.011781699999119155,4024,3.9296875
